Andhra Pradesh,CHITTOOR,Moong(Green Gram),2002-03,Kharif,174,Hectare,26,Tonnes,0.149425287
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2002-03,Rabi,172,Hectare,44,Tonnes,0.255813953
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2003-04,Kharif,631,Hectare,343,Tonnes,0.543581616
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2003-04,Rabi,221,Hectare,75,Tonnes,0.339366516
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2001-02,Kharif,126,Hectare,61,Tonnes,0.484126984
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2001-02,Rabi,62887,Hectare,10691,Tonnes,0.170003339
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2002-03,Kharif,533,Hectare,80,Tonnes,0.150093809
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2002-03,Rabi,49079,Hectare,10159,Tonnes,0.206992808
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2003-04,Kharif,4073,Hectare,2216,Tonnes,0.54407071
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram),2003-04,Rabi,67539,Hectare,19654,Tonnes,0.291002236
Andhra Pradesh,GUNTUR,Moong(Green Gram),2001-02,Kharif,10504,Hectare,3414,Tonnes,0.32501904
Andhra Pradesh,GUNTUR,Moong(Green Gram),2001-02,Rabi,3410,Hectare,1405,Tonnes,0.41202346
Andhra Pradesh,GUNTUR,Moong(Green Gram),2002-03,Kharif,8146,Hectare,978,Tonnes,0.120058925
Andhra Pradesh,GUNTUR,Moong(Green Gram),2002-03,Rabi,5737,Hectare,1624,Tonnes,0.283074778
Andhra Pradesh,GUNTUR,Moong(Green Gram),2003-04,Kharif,39752,Hectare,17650,Tonnes,0.444002817
Andhra Pradesh,GUNTUR,Moong(Green Gram),2003-04,Rabi,26217,Hectare,7813,Tonnes,0.29801274
Andhra Pradesh,KADAPA,Moong(Green Gram),2001-02,Kharif,153,Hectare,74,Tonnes,0.483660131
Andhra Pradesh,KADAPA,Moong(Green Gram),2001-02,Rabi,18,Hectare,5,Tonnes,0.277777778
Andhra Pradesh,KADAPA,Moong(Green Gram),2002-03,Kharif,663,Hectare,100,Tonnes,0.150829563
Andhra Pradesh,KADAPA,Moong(Green Gram),2002-03,Rabi,43,Hectare,11,Tonnes,0.255813953
Andhra Pradesh,KADAPA,Moong(Green Gram),2003-04,Kharif,780,Hectare,424,Tonnes,0.543589744
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2001-02,Kharif,29931,Hectare,8650,Tonnes,0.288998029
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2001-02,Rabi,1157,Hectare,353,Tonnes,0.305099395
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2002-03,Kharif,24429,Hectare,5032,Tonnes,0.20598469
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2002-03,Rabi,1234,Hectare,315,Tonnes,0.255267423
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2003-04,Kharif,28608,Hectare,10671,Tonnes,0.37300755
Andhra Pradesh,KARIMNAGAR,Moong(Green Gram),2003-04,Rabi,1949,Hectare,659,Tonnes,0.338122114
Andhra Pradesh,KHAMMAM,Moong(Green Gram),2001-02,Kharif,23222,Hectare,10868,Tonnes,0.468004479
Andhra Pradesh,KHAMMAM,Moong(Green Gram),2001-02,Rabi,2292,Hectare,699,Tonnes,0.304973822
